event,train_step,train_loss,learning_rate,gradient_norm,step_time_seconds,tokens_per_second,tokens_seen,elapsed_hours,estimated_training_cost,validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_total,sample_prompt,generated_continuation
validation,14500,,,,,,,,,3.069230079650879,,,,,
train,14510,3.0301058292388916,0.00013824985822354666,0.25408533215522766,1.7525306440074928,299160.53210979316,7607418880,7.155527682887501,,,,,,,
train,14520,3.0214548110961914,0.00013792484983412851,0.2870103120803833,1.7478337200009264,299964.4611500699,7612661760,7.160409531759166,,,,,,,
train,14530,3.171102523803711,0.00013760040394155396,0.2934119403362274,1.748017717996845,299932.8866075866,7617904640,7.165266198631944,,,,,,,
train,14540,3.1063358783721924,0.00013727652149597076,0.26839154958724976,1.749023506010417,299760.40813534806,7623147520,7.170124478918612,,,,,,,
train,14550,3.1285948753356934,0.0001369532034458768,0.26188504695892334,1.7479857449943665,299938.37278214743,7628390400,7.1749816890277724,,,,,,,
train,14560,3.083132743835449,0.00013663045073811694,0.27622494101524353,1.7494700480019674,299683.8960454214,7633633280,7.179839390778887,,,,,,,
train,14570,3.0921621322631836,0.00013630826431788049,0.2705673575401306,1.750200265989406,299558.86202749185,7638876160,7.184698085403611,,,,,,,
train,14580,3.1266911029815674,0.0001359866451286984,0.2533572316169739,1.7521013560181018,299233.83039410383,7644119040,7.18955900606722,,,,,,,
train,14590,3.082184076309204,0.0001356655941124404,0.2920895516872406,1.748620969010517,299829.41374463565,7649361920,7.1944179112349955,,,,,,,
train,14600,3.068037986755371,0.00013534511220931252,0.25640180706977844,1.748902370018186,299781.1707434236,7654604800,7.199276988297772,,,,,,,
train,14610,3.022080898284912,0.0001350252003578538,0.25691255927085876,1.7503256960189901,299537.39535016904,7659847680,7.204136401587498,,,,,,,
train,14620,3.1196088790893555,0.00013470585949493407,0.31034138798713684,1.7502170429797843,299555.9905572556,7665090560,7.208995590314443,,,,,,,
train,14630,3.0962436199188232,0.0001343870905557509,0.25828707218170166,1.7475274730240926,300017.0286838013,7670333440,7.213853373167496,,,,,,,
train,14640,3.059244394302368,0.0001340688944738273,0.24685947597026825,1.7492076740018092,299728.8474046894,7675576320,7.218712568770279,,,,,,,
train,14650,3.0157625675201416,0.00013375127218100813,0.2531594932079315,1.7501587150036357,299565.9739344902,7680819200,7.22357240973,,,,,,,
train,14660,3.1254007816314697,0.00013343422460745827,0.2975611984729767,1.7500523939961568,299584.17347883777,7686062080,7.228431174745557,,,,,,,
train,14670,3.0864789485931396,0.00013311775268165922,0.26504701375961304,1.7483637630066369,299873.5223717913,7691304960,7.233289591386662,,,,,,,
train,14680,2.9603681564331055,0.00013280185733040723,0.2666981518268585,1.7474082869885024,300037.4920411773,7696547840,7.238147609210832,,,,,,,
train,14690,3.041829824447632,0.00013248653947880944,0.27965134382247925,1.7482722580025438,299889.2178264131,7701790720,7.24317200022444,,,,,,,
train,14700,3.127580404281616,0.00013217180005028188,0.2614215612411499,1.7480642400041688,299924.90436092304,7707033600,7.248032424177776,,,,,,,
train,14710,2.961155891418457,0.00013185763996654705,0.3007854223251343,1.7497197189950384,299641.13355316577,7712276480,7.252895204419724,,,,,,,
train,14720,3.1204450130462646,0.0001315440601476305,0.28093409538269043,1.7517338809848297,299296.6030349563,7717519360,7.257755991704997,,,,,,,
train,14730,3.0508062839508057,0.00013123106151185837,0.27110186219215393,1.749715459998697,299641.86291203625,7722762240,7.262617059997776,,,,,,,
train,14740,3.0919415950775146,0.00013091864497585492,0.2520454525947571,1.749783995008329,299630.12663028983,7728005120,7.267479465502499,,,,,,,
train,14750,3.092214584350586,0.00013060681145453992,0.29215675592422485,1.7511385090183467,299398.36129462166,7733248000,7.272340109880558,,,,,,,
validation,14750,,,,,,,,,3.0683536529541016,,,,,
train,14760,3.0529356002807617,0.0001302955618611255,0.2922530174255371,1.7495116910140496,299676.7627749392,7738490880,7.277459709937223,,,,,,,
train,14770,3.1173603534698486,0.00012998489710711365,0.28812864422798157,1.748101150005823,299918.57164458337,7743733760,7.282318903846664,,,,,,,
train,14780,3.082240104675293,0.00012967481810229403,0.27797284722328186,1.748697759991046,299816.24726429826,7748976640,7.2871790703747195,,,,,,,
train,14790,3.0610899925231934,0.0001293653257547406,0.27919310331344604,1.7483323790074792,299878.9053472979,7754219520,7.292041483456665,,,,,,,
train,14800,3.1410999298095703,0.0001290564209708095,0.2701689898967743,1.7506104320054874,299488.6757297449,7759462400,7.296904722484444,,,,,,,
train,14810,3.051323890686035,0.0001287481046551358,0.2776239812374115,1.7492053819878493,299729.2401445641,7764705280,7.30176755077305,,,,,,,
train,14820,3.043233633041382,0.00012844037771063166,0.2437642514705658,1.7506268150173128,299485.8730041874,7769948160,7.306634796436944,,,,,,,
train,14830,3.0465638637542725,0.0001281332410384831,0.25073203444480896,1.7535900739894714,298979.7945236019,7775191040,7.311502643794439,,,,,,,
train,14840,3.0546505451202393,0.00012782669553814741,0.25935545563697815,1.750046861008741,299585.12065088144,7780433920,7.316367768231389,,,,,,,
train,14850,3.1498935222625732,0.00012752074210735072,0.2525685727596283,1.7528007390210405,299114.4334482771,7785676800,7.321234384924723,,,,,,,
train,14860,3.058220148086548,0.00012721538164208528,0.271663099527359,1.7484865430160426,299852.4650327776,7790919680,7.326098357449996,,,,,,,
train,14870,3.1155972480773926,0.0001269106150366067,0.2746965289115906,1.7516264129953925,299314.96585703694,7796162560,7.330963917709718,,,,,,,
train,14880,3.0891213417053223,0.0001266064431834316,0.31658223271369934,1.7496367100102361,299655.34959364944,7801405440,7.335998351282218,,,,,,,
train,14890,2.992537021636963,0.00012630286697333482,0.2667803466320038,1.7519837169966195,299253.9228040163,7806648320,7.340867788049719,,,,,,,
train,14900,3.1526973247528076,0.00012599988729534683,0.29250940680503845,1.7512182279897388,299384.7320798171,7811891200,7.345732635926664,,,,,,,
train,14910,3.0989723205566406,0.00012569750503675108,0.28301239013671875,1.7504352139949333,299518.65445133665,7817134080,7.350600686562773,,,,,,,
train,14920,3.0868053436279297,0.00012539572108308144,0.290462851524353,1.7515805450093467,299322.8039063441,7822376960,7.355468875959721,,,,,,,
train,14930,3.0744853019714355,0.00012509453631812,0.2696595788002014,1.7494837200210895,299681.55404937395,7827619840,7.360334033895835,,,,,,,
train,14940,3.0746679306030273,0.00012479395162389356,0.257108211517334,1.7485442309989594,299842.57229825377,7832862720,7.365199637494718,,,,,,,
train,14950,3.027463674545288,0.00012449396788067192,0.25207602977752686,1.7501989130105358,299559.09359934786,7838105600,7.370063525317221,,,,,,,
train,14960,3.096625566482544,0.00012419458596696483,0.2769030034542084,1.748986174003221,299766.8065036599,7843348480,7.3749247319722215,,,,,,,
train,14970,3.06600022315979,0.00012389580675951993,0.27287182211875916,1.749008581013186,299762.9661120841,7848591360,7.379789261314444,,,,,,,
train,14980,3.0839991569519043,0.00012359763113331925,0.2994847297668457,1.7521334390039556,299228.3511797165,7853834240,7.3846527790158305,,,,,,,
train,14990,3.106034755706787,0.0001233000599615776,0.2621908485889435,1.7515729980077595,299324.09359834023,7859077120,7.389519255843051,,,,,,,
train,15000,3.0163283348083496,0.00012300309411573956,0.2757711112499237,1.7531502099882346,299054.80831760477,7864320000,7.394387718433055,,,,,,,
validation,15000,,,,,,,,,3.0652811527252197,,,,,
hellaswag,15000,,,,,,,,,,0.2983469428400717,2996,10042,,
